start_date,end_date,value,device
2015-09-18 21:05:00+01:00,2015-09-19 07:28:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-18 23:58:00+01:00,2015-09-20 07:20:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-20 22:15:00+01:00,2015-09-21 04:42:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-20 22:10:00+01:00,2015-09-21 04:45:00+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2015-09-21 21:45:00+01:00,2015-09-22 04:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-21 21:30:00+01:00,2015-09-22 04:47:00+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2015-09-23 21:30:00+01:00,2015-09-24 06:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-24 22:10:00+01:00,2015-09-25 04:13:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-25 22:30:00+01:00,2015-09-26 06:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-26 22:31:00+01:00,2015-09-27 07:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-27 22:10:00+01:00,2015-09-28 04:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-29 21:10:00+01:00,2015-09-30 04:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-09-30 21:52:00+01:00,2015-10-01 04:59:00+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2015-09-30 22:02:00+01:00,2015-10-01 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-01 22:05:00+01:00,2015-10-02 04:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-02 21:30:00+01:00,2015-10-03 06:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-03 22:13:00+01:00,2015-10-04 07:15:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-04 22:40:00+01:00,2015-10-05 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-07 23:35:00+01:00,2015-10-08 05:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-10 23:24:00+01:00,2015-10-11 07:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-11 23:26:00+01:00,2015-10-12 07:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-12 23:20:00+01:00,2015-10-13 07:38:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-13 21:45:00+01:00,2015-10-14 07:13:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-15 00:40:00+01:00,2015-10-15 07:26:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-16 22:47:00+01:00,2015-10-17 07:12:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-15 23:31:00+01:00,2015-10-17 07:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-20 22:16:00+01:00,2015-10-21 04:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-26 22:30:00+01:00,2015-10-27 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-28 23:30:00+01:00,2015-10-29 07:49:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-30 00:15:00+01:00,2015-10-30 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-30 23:44:00+01:00,2015-10-31 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-10-31 23:09:00+01:00,2015-11-01 07:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-02 00:10:00+01:00,2015-11-02 05:55:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-03 23:06:00+01:00,2015-11-04 05:48:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-05 00:20:00+01:00,2015-11-05 06:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-06 00:10:00+01:00,2015-11-06 05:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-06 22:40:00+01:00,2015-11-07 09:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-07 23:45:00+01:00,2015-11-08 07:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-10 00:23:00+01:00,2015-11-10 07:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-10 22:45:00+01:00,2015-11-11 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-11 22:58:00+01:00,2015-11-12 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-12 23:02:00+01:00,2015-11-13 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-13 23:05:00+01:00,2015-11-14 07:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-15 00:20:00+01:00,2015-11-15 08:20:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-19 22:20:00+01:00,2015-11-20 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-20 23:32:00+01:00,2015-11-21 07:00:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-11-21 23:11:00+01:00,2015-11-22 08:16:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
